Date,equity
2020-01-03,10000.0
2020-01-06,10000.0
2020-01-07,10000.0
2020-01-08,10000.0
2020-01-09,10000.0
2020-01-10,10000.0
2020-01-13,10000.0
2020-01-14,10000.0
2020-01-15,10000.0
2020-01-16,10000.0
2020-01-17,10000.0
2020-01-21,10000.0
2020-01-22,10000.0
2020-01-23,10000.0
2020-01-24,10000.0
2020-01-27,10000.0
2020-01-28,10000.0
2020-01-29,10000.0
2020-01-30,10000.0
2020-01-31,10000.0
2020-02-03,10000.0
2020-02-04,10000.0
2020-02-05,10000.0
2020-02-06,10000.0
2020-02-07,10000.0
2020-02-10,10000.0
2020-02-11,10000.0
2020-02-12,10000.0
2020-02-13,10000.0
2020-02-14,10000.0
2020-02-18,10000.0
2020-02-19,10000.0
2020-02-20,10000.0
2020-02-21,10000.0
2020-02-24,10000.0
2020-02-25,10000.0
2020-02-26,10000.0
2020-02-27,10000.0
2020-02-28,10000.0
2020-03-02,10000.0
2020-03-03,10000.0
2020-03-04,10000.0
2020-03-05,10000.0
2020-03-06,10000.0
2020-03-09,10000.0
2020-03-10,10000.0
2020-03-11,10000.0
2020-03-12,10000.0
2020-03-13,10000.0
2020-03-16,10000.0
2020-03-17,10000.0
2020-03-18,9493.670435839094
2020-03-19,9513.84518264718
2020-03-20,9103.853015026258
2020-03-23,8871.08495531919
2020-03-24,9674.83411607593
2020-03-25,9819.666916769738
2020-03-26,10393.038371933339
2020-03-27,10083.472693809514
2020-03-30,10410.940668566738
2020-03-31,10255.76196209392
2020-04-01,9794.202959837115
2020-04-02,10020.208339548019
2020-04-03,9875.373562813476
2020-04-06,10538.666200848742
2020-04-07,10549.40863271602
2020-04-08,10903.533436074784
2020-04-09,11069.460502545713
2020-04-13,10968.393116228614
2020-04-14,11291.882656469455
2020-04-15,11051.954073318899
2020-04-16,11105.267730530612
2020-04-17,11405.285165819436
2020-04-20,11204.345240907836
2020-04-21,11204.345240907836
2020-04-22,11204.345240907836
2020-04-23,11204.345240907836
2020-04-24,11204.345240907836
2020-04-27,11204.345240907836
2020-04-28,11204.345240907836
2020-04-29,11204.345240907836
2020-04-30,11204.345240907836
2020-05-01,11204.345240907836
2020-05-04,11204.345240907836
2020-05-05,11204.345240907836
2020-05-06,11204.345240907836
2020-05-07,11204.345240907836
2020-05-08,11204.345240907836
2020-05-11,11204.345240907836
2020-05-12,11204.345240907836
2020-05-13,11204.345240907836
2020-05-14,11204.345240907836
2020-05-15,11204.345240907836
2020-05-18,11204.345240907836
2020-05-19,11204.345240907836
2020-05-20,11204.345240907836
2020-05-21,11204.345240907836
2020-05-22,11204.345240907836
2020-05-26,11204.345240907836
2020-05-27,11204.345240907836
2020-05-28,11204.345240907836
2020-05-29,11204.345240907836
2020-06-01,11204.345240907836
2020-06-02,11204.345240907836
2020-06-03,11204.345240907836
2020-06-04,11204.345240907836
2020-06-05,11204.345240907836
2020-06-08,11204.345240907836
2020-06-09,11204.345240907836
2020-06-10,11204.345240907836
2020-06-11,11204.345240907836
2020-06-12,11204.345240907836
2020-06-15,11204.345240907836
2020-06-16,11204.345240907836
2020-06-17,11204.345240907836
2020-06-18,11204.345240907836
2020-06-19,11204.345240907836
2020-06-22,11204.345240907836
2020-06-23,11204.345240907836
2020-06-24,11204.345240907836
2020-06-25,11204.345240907836
2020-06-26,11204.345240907836
2020-06-29,11204.345240907836
2020-06-30,11204.345240907836
2020-07-01,11204.345240907836
2020-07-02,11204.345240907836
2020-07-06,11204.345240907836
2020-07-07,11204.345240907836
2020-07-08,11204.345240907836
2020-07-09,11204.345240907836
2020-07-10,11204.345240907836
2020-07-13,11204.345240907836
2020-07-14,11204.345240907836
2020-07-15,11204.345240907836
2020-07-16,11204.345240907836
2020-07-17,11204.345240907836
2020-07-20,11204.345240907836
2020-07-21,11204.345240907836
2020-07-22,11204.345240907836
2020-07-23,11204.345240907836
2020-07-24,11204.345240907836
2020-07-27,11204.345240907836
2020-07-28,11204.345240907836
2020-07-29,11204.345240907836
2020-07-30,11204.345240907836
2020-07-31,11204.345240907836
2020-08-03,11204.345240907836
2020-08-04,11204.345240907836
2020-08-05,11204.345240907836
2020-08-06,11204.345240907836
2020-08-07,11204.345240907836
2020-08-10,11204.345240907836
2020-08-11,11204.345240907836
2020-08-12,11204.345240907836
2020-08-13,11204.345240907836
2020-08-14,11204.345240907836
2020-08-17,11204.345240907836
2020-08-18,11204.345240907836
2020-08-19,11204.345240907836
2020-08-20,11204.345240907836
2020-08-21,11204.345240907836
2020-08-24,11204.345240907836
2020-08-25,11204.345240907836
2020-08-26,11204.345240907836
