date,ic_mom63,ic_score
2015-10-13 00:00:00,0.109890,0.043956
2015-10-14 00:00:00,-0.939560,-0.917582
2015-10-15 00:00:00,-0.291209,-0.230769
2015-10-16 00:00:00,-0.269231,-0.049451
2015-10-19 00:00:00,0.203297,0.236264
2015-10-20 00:00:00,0.538462,0.642857
2015-10-21 00:00:00,0.093407,0.065934
2015-10-22 00:00:00,-0.582418,-0.549451
2015-10-23 00:00:00,0.230769,0.280220
2015-10-26 00:00:00,0.192308,0.450549
2015-10-27 00:00:00,-0.670330,-0.554945
2015-10-28 00:00:00,-0.543956,-0.494505
2015-10-29 00:00:00,0.104396,-0.049451
2015-10-30 00:00:00,-0.626374,-0.598901
2015-11-02 00:00:00,0.285714,0.120879
2015-11-03 00:00:00,-0.170330,0.071429
2015-11-04 00:00:00,-0.252747,0.043956
2015-11-05 00:00:00,0.120879,0.181319
2015-11-06 00:00:00,-0.489011,-0.104396
2015-11-09 00:00:00,-0.571429,-0.494505
2015-11-10 00:00:00,0.324176,0.428571
2015-11-11 00:00:00,0.214286,0.230769
2015-11-12 00:00:00,-0.758242,-0.725275
2015-11-13 00:00:00,0.186813,0.225275
2015-11-16 00:00:00,0.181319,0.263736
2015-11-17 00:00:00,0.043956,-0.038462
2015-11-18 00:00:00,-0.164835,-0.197802
2015-11-19 00:00:00,0.467033,0.478022
2015-11-20 00:00:00,-0.120879,-0.021978
2015-11-23 00:00:00,-0.351648,-0.428571
2015-11-24 00:00:00,-0.390110,-0.049451
2015-11-25 00:00:00,-0.049451,0.109890
2015-11-27 00:00:00,-0.225275,-0.384615
2015-11-30 00:00:00,0.071429,0.115385
2015-12-01 00:00:00,0.247253,0.362637
2015-12-02 00:00:00,0.192308,0.230769
2015-12-03 00:00:00,0.357143,0.291209
2015-12-04 00:00:00,0.324176,0.346154
2015-12-07 00:00:00,-0.065934,-0.219780
2015-12-08 00:00:00,-0.703297,-0.576923
2015-12-09 00:00:00,0.021978,0.109890
2015-12-10 00:00:00,-0.197802,-0.137363
2015-12-11 00:00:00,0.664835,0.637363
2015-12-14 00:00:00,-0.357143,-0.175824
2015-12-15 00:00:00,0.291209,0.285714
2015-12-16 00:00:00,0.175824,0.186813
2015-12-17 00:00:00,-0.802198,-0.758242
2015-12-18 00:00:00,0.329670,0.170330
2015-12-21 00:00:00,0.126374,-0.027473
2015-12-22 00:00:00,-0.104396,-0.181319
2015-12-23 00:00:00,-0.428571,-0.401099
2015-12-24 00:00:00,0.313187,0.406593
2015-12-28 00:00:00,0.824176,0.686813
2015-12-29 00:00:00,-0.032967,0.208791
2015-12-30 00:00:00,-0.642857,-0.571429
2015-12-31 00:00:00,-0.412088,-0.236264
2016-01-04 00:00:00,-0.142857,-0.082418
2016-01-05 00:00:00,0.247253,0.489011
2016-01-06 00:00:00,-0.153846,0.126374
2016-01-07 00:00:00,0.395604,0.439560
2016-01-08 00:00:00,0.126374,0.186813
2016-01-11 00:00:00,0.631868,0.532967
2016-01-12 00:00:00,0.115385,0.203297
2016-01-13 00:00:00,-0.098901,-0.538462
2016-01-14 00:00:00,0.164835,0.500000
2016-01-15 00:00:00,0.494505,0.175824
2016-01-19 00:00:00,0.362637,0.483516
2016-01-20 00:00:00,-0.390110,-0.423077
2016-01-21 00:00:00,-0.456044,-0.648352
2016-01-22 00:00:00,0.659341,0.939560
2016-01-25 00:00:00,-0.945055,-0.752747
2016-01-26 00:00:00,0.258242,0.395604
2016-01-27 00:00:00,-0.318681,-0.335165
2016-01-28 00:00:00,-0.736264,-0.637363
2016-01-29 00:00:00,0.532967,0.554945
2016-02-01 00:00:00,0.928571,0.785714
2016-02-02 00:00:00,-0.329670,-0.423077
2016-02-03 00:00:00,0.065934,0.153846
2016-02-04 00:00:00,0.692308,0.615385
2016-02-05 00:00:00,0.703297,0.527473
2016-02-08 00:00:00,0.604396,0.565934
2016-02-09 00:00:00,0.329670,0.335165
2016-02-10 00:00:00,0.214286,0.291209
2016-02-11 00:00:00,-0.758242,-0.719780
2016-02-12 00:00:00,-0.510989,-0.456044
2016-02-16 00:00:00,-0.752747,-0.736264
2016-02-17 00:00:00,0.818681,0.730769
2016-02-18 00:00:00,-0.236264,-0.192308
2016-02-19 00:00:00,-0.675824,-0.571429
2016-02-22 00:00:00,0.719780,0.774725
2016-02-23 00:00:00,-0.527473,-0.549451
2016-02-24 00:00:00,-0.087912,0.005495
2016-02-25 00:00:00,-0.802198,-0.741758
2016-02-26 00:00:00,0.615385,0.708791
2016-02-29 00:00:00,-0.736264,-0.670330
2016-03-01 00:00:00,-0.214286,-0.219780
2016-03-02 00:00:00,-0.082418,0.005495
2016-03-03 00:00:00,-0.445055,-0.434066
2016-03-04 00:00:00,-0.258242,-0.219780
2016-03-07 00:00:00,0.686813,0.774725
2016-03-08 00:00:00,-0.302198,-0.423077
2016-03-09 00:00:00,0.258242,0.082418
2016-03-10 00:00:00,-0.796703,-0.950549
2016-03-11 00:00:00,-0.115385,0.148352
2016-03-14 00:00:00,0.390110,0.549451
2016-03-15 00:00:00,0.241758,0.098901
2016-03-16 00:00:00,0.076923,-0.159341
2016-03-17 00:00:00,-0.587912,-0.439560
2016-03-18 00:00:00,-0.390110,-0.170330
2016-03-21 00:00:00,-0.373626,-0.076923
2016-03-22 00:00:00,0.131868,0.335165
2016-03-23 00:00:00,-0.115385,-0.203297
2016-03-24 00:00:00,0.038462,0.291209
2016-03-28 00:00:00,0.021978,0.137363
2016-03-29 00:00:00,-0.175824,-0.142857
2016-03-30 00:00:00,0.302198,0.016484
2016-03-31 00:00:00,-0.609890,-0.302198
2016-04-01 00:00:00,-0.043956,0.225275
2016-04-04 00:00:00,0.835165,0.543956
2016-04-05 00:00:00,-0.681319,-0.565934
2016-04-06 00:00:00,0.615385,0.379121
2016-04-07 00:00:00,-0.027473,-0.137363
2016-04-08 00:00:00,0.214286,0.318681
2016-04-11 00:00:00,-0.390110,-0.395604
2016-04-12 00:00:00,-0.478022,-0.247253
2016-04-13 00:00:00,-0.027473,-0.197802
2016-04-14 00:00:00,-0.340659,-0.131868
2016-04-15 00:00:00,-0.109890,-0.274725
2016-04-18 00:00:00,0.252747,-0.247253
2016-04-19 00:00:00,0.181319,-0.197802
2016-04-20 00:00:00,0.021978,0.148352
2016-04-21 00:00:00,0.362637,0.005495
2016-04-22 00:00:00,-0.478022,-0.049451
2016-04-25 00:00:00,0.851648,0.142857
2016-04-26 00:00:00,0.439560,0.032967
2016-04-27 00:00:00,-0.467033,-0.467033
2016-04-28 00:00:00,-0.126374,-0.219780
2016-04-29 00:00:00,-0.329670,-0.060440
2016-05-02 00:00:00,-0.357143,-0.027473
2016-05-03 00:00:00,-0.697802,-0.307692
2016-05-04 00:00:00,-0.368132,-0.362637
2016-05-05 00:00:00,0.318681,0.170330
2016-05-06 00:00:00,-0.478022,-0.087912
2016-05-09 00:00:00,0.653846,0.104396
2016-05-10 00:00:00,-0.527473,-0.692308
2016-05-11 00:00:00,0.417582,0.395604
2016-05-12 00:00:00,-0.719780,-0.417582
2016-05-13 00:00:00,0.423077,0.203297
2016-05-16 00:00:00,0.076923,0.148352
2016-05-17 00:00:00,0.280220,-0.038462
2016-05-18 00:00:00,-0.494505,-0.434066
2016-05-19 00:00:00,0.351648,-0.153846
2016-05-20 00:00:00,-0.175824,-0.170330
2016-05-23 00:00:00,0.384615,-0.214286
2016-05-24 00:00:00,0.752747,0.362637
2016-05-25 00:00:00,-0.620879,-0.774725
2016-05-26 00:00:00,0.472527,-0.159341
2016-05-27 00:00:00,-0.346154,-0.703297
2016-05-31 00:00:00,0.192308,0.434066
2016-06-01 00:00:00,0.203297,0.362637
2016-06-02 00:00:00,-0.648352,-0.230769
2016-06-03 00:00:00,0.846154,0.324176
2016-06-06 00:00:00,0.093407,0.159341
2016-06-07 00:00:00,-0.346154,-0.016484
2016-06-08 00:00:00,-0.796703,-0.296703
2016-06-09 00:00:00,-0.769231,-0.296703
2016-06-10 00:00:00,-0.093407,-0.137363
2016-06-13 00:00:00,-0.082418,-0.280220
2016-06-14 00:00:00,-0.038462,-0.186813
2016-06-15 00:00:00,-0.219780,0.357143
2016-06-16 00:00:00,-0.137363,-0.593407
2016-06-17 00:00:00,-0.054945,0.148352
2016-06-20 00:00:00,-0.368132,-0.291209
2016-06-21 00:00:00,0.010989,0.021978
2016-06-22 00:00:00,0.043956,-0.032967
2016-06-23 00:00:00,0.131868,0.197802
2016-06-24 00:00:00,0.230769,0.445055
2016-06-27 00:00:00,-0.560440,-0.813187
2016-06-28 00:00:00,-0.137363,-0.434066
2016-06-29 00:00:00,-0.313187,-0.203297
2016-06-30 00:00:00,0.417582,0.351648
2016-07-01 00:00:00,0.153846,0.527473
2016-07-05 00:00:00,-0.302198,-0.307692
2016-07-06 00:00:00,-0.675824,-0.631868
2016-07-07 00:00:00,-0.483516,-0.769231
2016-07-08 00:00:00,-0.538462,-0.670330
2016-07-11 00:00:00,0.043956,-0.571429
2016-07-12 00:00:00,-0.142857,0.417582
2016-07-13 00:00:00,-0.736264,-0.736264
2016-07-14 00:00:00,0.115385,0.010989
2016-07-15 00:00:00,-0.653846,-0.692308
2016-07-18 00:00:00,0.032967,0.489011
2016-07-19 00:00:00,-0.554945,-0.478022
2016-07-20 00:00:00,0.258242,0.587912
2016-07-21 00:00:00,-0.368132,-0.450549
2016-07-22 00:00:00,0.274725,0.065934
2016-07-25 00:00:00,0.032967,-0.269231
2016-07-26 00:00:00,0.527473,0.472527
2016-07-27 00:00:00,-0.357143,-0.456044
2016-07-28 00:00:00,0.406593,0.291209
2016-07-29 00:00:00,0.445055,0.241758
2016-08-01 00:00:00,-0.137363,0.010989
2016-08-02 00:00:00,-0.296703,-0.494505
2016-08-03 00:00:00,0.587912,0.450549
2016-08-04 00:00:00,-0.252747,-0.071429
2016-08-05 00:00:00,-0.021978,-0.340659
2016-08-08 00:00:00,0.043956,0.274725
2016-08-09 00:00:00,-0.219780,0.005495
2016-08-10 00:00:00,-0.247253,-0.148352
2016-08-11 00:00:00,0.060440,-0.005495
2016-08-12 00:00:00,0.285714,-0.005495
2016-08-15 00:00:00,-0.626374,-0.648352
2016-08-16 00:00:00,-0.472527,-0.560440
2016-08-17 00:00:00,0.153846,-0.065934
2016-08-18 00:00:00,0.346154,0.340659
2016-08-19 00:00:00,0.404402,0.330124
2016-08-22 00:00:00,0.109890,0.098901
2016-08-23 00:00:00,-0.582418,-0.576923
2016-08-24 00:00:00,0.247253,0.296703
2016-08-25 00:00:00,-0.071429,0.225275
2016-08-26 00:00:00,-0.186813,-0.500000
2016-08-29 00:00:00,-0.137363,0.324176
2016-08-30 00:00:00,-0.010989,0.005495
2016-08-31 00:00:00,0.664835,0.489011
2016-09-01 00:00:00,0.049451,-0.038462
2016-09-02 00:00:00,0.087912,-0.065934
2016-09-06 00:00:00,0.000000,0.167813
2016-09-07 00:00:00,-0.423077,-0.395604
2016-09-08 00:00:00,-0.192308,-0.219780
2016-09-09 00:00:00,-0.049451,0.170330
2016-09-12 00:00:00,-0.186813,-0.115385
2016-09-13 00:00:00,0.302198,0.439560
2016-09-14 00:00:00,0.532967,0.516484
2016-09-15 00:00:00,-0.302198,-0.131868
2016-09-16 00:00:00,0.093407,0.065934
2016-09-19 00:00:00,-0.340659,-0.302198
2016-09-20 00:00:00,0.142857,0.054945
2016-09-21 00:00:00,0.027473,0.104396
2016-09-22 00:00:00,-0.082418,-0.368132
2016-09-23 00:00:00,-0.307692,-0.384615
2016-09-26 00:00:00,0.417582,0.406593
2016-09-27 00:00:00,0.318681,0.203297
2016-09-28 00:00:00,-0.230769,-0.467033
2016-09-29 00:00:00,0.054945,-0.164835
2016-09-30 00:00:00,0.120879,-0.021978
2016-10-03 00:00:00,0.510989,0.659341
2016-10-04 00:00:00,0.467033,0.346154
2016-10-05 00:00:00,0.478022,0.384615
2016-10-06 00:00:00,-0.483516,-0.467033
2016-10-07 00:00:00,0.807692,0.593407
2016-10-10 00:00:00,-0.450549,-0.500000
2016-10-11 00:00:00,-0.379121,-0.115385
2016-10-12 00:00:00,-0.802198,-0.802198
2016-10-13 00:00:00,0.478022,0.653846
2016-10-14 00:00:00,-0.082418,-0.060440
2016-10-17 00:00:00,0.115385,0.236264
2016-10-18 00:00:00,0.313187,0.043956
