date,price,mom_short,mom_long,accel,buy_signal,sell_signal,signal,buy_exec,sell_exec,position
2020-01-03,295.4446716309,,,,False,False,0,False,False,0
2020-01-06,296.5719604492,,,,False,False,0,False,False,0
2020-01-07,295.7380065918,,,-0.006624244915630406,False,False,0,False,False,0
2020-01-08,297.3141479492,,,0.008131306616900424,False,False,0,False,False,0
2020-01-09,299.330078125,,,0.0014422202378838733,False,False,0,False,False,0
2020-01-10,298.4686889648,,,-0.009639459692209584,False,False,0,False,False,0
2020-01-13,300.5213623047,,,0.009735679881933912,False,False,0,False,False,0
2020-01-14,300.0631713867,,,-0.00837962477902554,False,False,0,False,False,0
2020-01-15,300.7413330078,,,0.0037833296028857433,False,False,0,False,False,0
2020-01-16,303.2429504395,,,0.006026251615601552,False,False,0,False,False,0
2020-01-17,304.1867980957,,,-0.005176085087462923,False,False,0,False,False,0
2020-01-21,303.591217041,,,-0.0050675436532658935,False,False,0,False,False,0
2020-01-22,303.6278381348,,,0.002080483446417425,False,False,0,False,False,0
2020-01-23,303.9760437012,,,0.001025540854082685,False,False,0,False,False,0
2020-01-24,301.2727966309,,,-0.010078899188799895,False,False,0,False,False,0
2020-01-27,296.4436035156,,,-0.0072264231453216254,False,False,0,False,False,0
2020-01-28,299.5500793457,,,0.026583782860671867,False,False,0,False,False,0
2020-01-29,299.3025817871,,,-0.011251192941021948,False,False,0,False,False,0
2020-01-30,300.2739257812,,,0.004066675585082891,False,False,0,False,False,0
2020-01-31,294.8216552734,,,-0.021564631936870526,False,False,0,False,False,0
2020-02-03,297.0116882324,0.0052899094746177155,,0.025725406079430968,False,False,0,False,False,0
2020-02-04,301.5386047363,0.016608161562634116,,0.007725680646733402,False,False,0,False,False,0
2020-02-05,305.0206298828,0.030905463765165564,,-0.003645194801115359,False,False,0,False,False,0
2020-02-06,306.0470275879,0.028949458076286128,,-0.00812200127451046,False,False,0,False,False,0
2020-02-07,304.4159545898,0.01684813313835054,,-0.008703099011172277,False,False,0,False,False,0
2020-02-10,306.6884765625,0.027167465331118024,,0.012781197438493486,False,False,0,False,False,0
2020-02-11,307.2199707031,0.02204516731081263,,-0.005705950331138965,False,False,0,False,False,0
2020-02-12,309.1992797852,0.0299929636477696,,0.004690469578236822,False,False,0,False,False,0
2020-02-13,308.8695068359,0.026668343215819235,,-0.007489087166021591,False,False,0,False,False,0
2020-02-14,309.3642272949,0.019985010993568864,,0.002667539825301546,False,False,0,False,False,0
2020-02-18,308.5671081543,0.014297370054589642,,-0.004180393804191773,False,False,0,False,False,0
2020-02-19,310.0424194336,0.02102700927491785,,0.007349736506041538,False,False,0,False,False,0
2020-02-20,308.7687072754,0.016789741693313154,,-0.008886423355515483,False,False,0,False,False,0
2020-02-21,305.5888671875,0.005291732581945041,,-0.00623520067568073,False,False,0,False,False,0
2020-02-24,295.4538879395,-0.019503378317942577,,-0.0233760009773194,False,False,0,False,False,0
2020-02-25,286.5010681152,-0.03411472868014975,,0.0029573373923588164,False,False,0,False,False,0
2020-02-26,285.4471740723,-0.04822463095598817,,0.02708523094704063,False,False,0,False,False,0
2020-02-27,272.6272888184,-0.09334942093698828,,-0.042266080646183646,False,False,0,False,False,0
2020-02-28,271.481842041,-0.10079988699038367,,0.041740999512687615,False,False,0,False,False,0
2020-03-02,283.2388000488,-0.040080256868294306,,0.046605464238614225,False,False,0,False,False,0
2020-03-03,275.1289978027,-0.07653142174570249,,-0.07144538892006658,False,False,0,False,False,0
2020-03-04,286.6934814453,-0.05048441408332671,,0.07022385318651736,False,False,0,False,False,0
2020-03-05,277.1632080078,-0.09577288201788026,,-0.07498067039804468,False,False,0,False,False,0
2020-03-06,272.581451416,-0.11580130135262579,,0.017138047325297556,False,False,0,False,False,0
2020-03-09,251.2942962646,-0.19177029047816774,,-0.0646436688019687,False,False,0,False,False,0
2020-03-10,264.2975463867,-0.1487569599449241,,0.13176351709727907,False,False,0,False,False,0
2020-03-11,251.4134216309,-0.20046532567530573,,-0.10042764659476422,False,False,0,False,False,0
2020-03-12,227.3589477539,-0.3074559511935151,,-0.050591790209590926,False,False,0,False,False,0
2020-03-13,246.7950134277,-0.22436079281114996,,0.18259669673455292,False,False,0,False,False,0
2020-03-16,219.7897644043,-0.3418478387358519,,-0.19791466448176553,False,False,0,False,False,0
2020-03-17,231.6566619873,-0.2866829798752475,,0.16847151098111457,False,False,0,False,False,0
2020-03-18,219.9272003174,-0.34341254105829755,,-0.10454468353761293,False,False,0,False,False,0
2020-03-19,220.3945617676,-0.33717307387367157,,0.054082605012160556,False,False,0,False,False,0
2020-03-20,210.8968200684,-0.3708716178092759,,-0.04617321179591105,False,False,0,False,False,0
2020-03-23,205.5045928955,-0.3630443935444152,,0.018149767223145652,False,False,0,False,False,0
2020-03-24,224.1239776611,-0.24554289385122097,,0.11263161282069234,False,False,0,False,False,0
2020-03-25,227.4791259766,-0.22699850222455886,,-0.0718718771194915,False,False,0,False,False,0
2020-03-26,240.7616577148,-0.12429814797170557,,0.04188988198000754,False,False,0,False,False,0
2020-03-27,233.5903625488,-0.15032626310308483,,-0.08698746987154493,False,False,0,False,False,0
2020-03-30,241.1763763428,-0.160761840394807,,0.06219800207827131,False,False,0,False,False,0
2020-03-31,237.5815582275,-0.14672910301196485,,-0.04697707424550224,False,False,0,False,False,0
2020-04-01,226.8892364502,-0.23395168288619939,,-0.031031464070559345,False,False,0,False,False,0
2020-04-02,232.1248016357,-0.17733136614771894,,0.06886222621467031,False,False,0,False,False,0
2020-04-03,228.7696075439,-0.17522205719808603,,-0.03737296046354999,False,False,0,False,False,0
2020-04-06,244.1352233887,-0.028902481374054823,,0.0795665980724296,False,False,0,False,False,0
2020-04-07,244.3840789795,-0.07833445624295443,,-0.06398803359565175,False,False,0,False,False,0
2020-04-08,252.5876159668,0.004659500170481223,,0.031998284687571044,False,False,0,False,False,0
2020-04-09,256.431427002,0.12033125151357549,,-0.017913995279932315,False,False,0,False,False,0
2020-04-13,254.090133667,0.029130974113354746,,-0.024275332008762085,False,False,0,False,False,0
2020-04-14,261.583984375,0.174083922784936,,0.03823856159003647,False,False,0,False,False,0
2020-04-15,256.0258789062,0.10002215854988528,,-0.05054320192551742,False,False,0,False,False,0
2020-04-16,257.260925293,0.15679425942509795,,0.026289181572650477,False,False,0,False,False,0
2020-04-17,264.2110290527,0.1813287337079661,,0.02184497841981603,False,False,0,False,False,0
2020-04-20,259.5561218262,0.20760393884367634,,-0.04443248094306895,False,False,0,False,False,0
2020-04-21,251.675201416,0.20267098937416073,,-0.013058387382080205,False,False,0,False,False,0
2020-04-22,257.260925293,0.1378914729198515,,0.052785045835898714,False,False,0,False,False,0
2020-04-23,257.2425231934,0.12296082969947797,,-0.02202300388555578,False,False,0,False,False,0
2020-04-24,260.828125,0.08005419349843113,,0.013913888999334212,False,False,0,False,False,0
2020-04-27,264.5888366699,0.12460806744401243,,0.0004730402750832141,False,False,0,False,False,0
2020-04-28,263.3721618652,0.08803957818191854,,-0.018924361129403877,False,False,0,False,False,0
2020-04-29,270.2668762207,0.128898933681179,,0.0304507705158521,False,False,0,False,False,0
2020-04-30,267.7504882812,0.16559357972800992,,-0.03519617352298887,False,False,0,False,False,0
2020-05-01,260.6622314453,0.11595027170231642,,-0.017475727857854118,False,False,0,False,False,0
2020-05-04,261.3811950684,0.13326444278667093,,0.029584518646498026,False,False,0,False,False,0
2020-05-05,263.7961730957,0.07745446733805306,,0.006442451539457217,False,False,0,False,False,0
2020-05-06,262.0079956055,0.06963393898989967,,-0.01599858649518726,False,False,0,False,False,0
2020-05-07,265.1695861816,0.04861138670714027,,0.018796260752965033,False,False,0,False,False,0
2020-05-08,269.5570983887,0.04991894802381225,,0.004416118319499063,False,False,0,False,False,0
2020-05-11,269.6124572754,0.059296523453401306,,-0.016205317895845006,False,False,0,False,False,0
2020-05-12,264.2387084961,0.010097497552841617,,-0.02033803974011228,False,False,0,False,False,0
2020-05-13,259.5653991699,0.013730161929091267,,0.0022884883512919174,False,False,0,False,False,0
2020-05-14,262.6716918945,0.02081408921754857,,0.02974044448485813,False,False,0,False,False,0
2020-05-15,263.8790893555,-0.0012571329375239415,,-0.007310171023713785,False,False,0,False,False,0
2020-05-18,271.916809082,0.046523222248502805,,0.025419096398030305,False,False,0,False,False,0
2020-05-19,269.1239013672,0.06703250051919962,,-0.040329464297410134,False,False,0,False,False,0
2020-05-20,273.6958007812,0.06192643014735477,,0.027169697193357045,False,False,0,False,False,0
2020-05-21,271.8062744141,0.05507027619169591,,-0.02377308746936979,False,False,0,False,False,0
2020-05-22,272.3222961426,0.04312461163473813,,0.008824378398035293,False,False,0,False,False,0
2020-05-26,275.6775512695,0.041054828894955264,,0.010348922092258128,False,False,0,False,False,0
2020-05-27,279.7792663574,0.0604328617881249,,0.0025234545035486278,False,False,0,False,False,0
2020-05-28,279.2632141113,0.032744855564713404,,-0.01661526860072904,False,False,0,False,False,0
2020-05-29,280.5075378418,0.04654506450584073,,0.00629204164154995,False,False,0,False,False,0
2020-06-01,281.6412658691,0.07740871745946443,,-0.00041228384535774154,False,False,0,False,False,0
2020-06-02,283.9732971191,0.08290035020433084,,0.0042124984377407415,False,False,0,False,False,0
2020-06-03,287.7524414062,0.08692379869751399,,0.004974267287773948,False,False,0,False,False,0
2020-06-04,286.9966430664,0.09109549818477358,,-0.015850335501110813,False,False,0,False,False,0
2020-06-05,294.3522644043,0.10440765917990547,,0.02793672226083732,False,False,0,False,False,0
2020-06-08,297.9101867676,0.10001181862358255,,-0.013291883231955737,False,False,0,False,False,0
2020-06-09,295.6887817383,0.09232190367354676,,-0.019499392289557882,False,False,0,False,False,0
2020-06-10,294.038848877,0.10685900419285232,,0.001888975729229081,False,False,0,False,False,0
2020-06-11,277.087890625,0.06532605975831807,,-0.05378155660254791,False,False,0,False,False,0
2020-06-12,280.4061584473,0.0653341854132572,,0.07128151457433152,False,False,0,False,False,0
2020-06-15,283.0238342285,0.0700401106165307,,-0.0026123714753794047,False,False,0,False,False,0
2020-06-16,288.4714050293,0.05909979446811775,,0.009772855046343842,False,False,0,False,False,0
2020-06-17,287.2732849121,0.06526210149407508,,-0.023226841123039854,False,False,0,False,False,0
2020-06-18,287.3837890625,0.04880129305059455,,0.004546581723919196,False,False,0,False,False,0
2020-06-19,285.7415161133,0.049998026218435854,,-0.006115545858047966,False,False,0,False,False,0
2020-06-22,287.574432373,0.054495444809803395,,0.012125063821561533,False,False,0,False,False,0
2020-06-23,288.8984375,0.0468433087820852,,-0.0018006325268276058,False,False,0,False,False,0
2020-06-24,281.5289916992,0.006234474494683617,,-0.030433243756134765,False,False,0,False,False,0
2020-06-25,284.5471496582,0.018744211148914225,,0.036503302340903154,False,False,0,False,False,0
2020-06-26,277.7886962891,-0.009739858089627518,,-0.0347017642512224,False,False,0,False,False,0
2020-06-29,281.8715515137,0.0008173218081859446,,0.03862896529099746,False,False,0,False,False,0
2020-06-30,285.4821777344,0.005299392887268439,,-0.0018626103809902261,False,False,0,False,False,0
2020-07-01,287.4819030762,-0.0009406196015309121,,-0.005747816280107898,False,False,0,False,False,0
2020-07-02,289.0650939941,0.007181382425444305,-0.021829681387659505,-0.0014883209853362445,False,False,0,False,False,0
2020-07-06,293.5274353027,,,,False,False,0,False,False,0
2020-07-07,290.5000915527,,,,False,False,0,False,False,0
2020-07-08,292.7220458984,,,0.017986838288049256,False,False,0,False,False,0
2020-07-09,291.0555114746,,,-0.013329118400650763,False,False,0,False,False,0
2020-07-10,294.0274047852,,,0.015868466383734514,False,False,0,False,False,0
2020-07-13,291.4813842773,,,-0.01885580111548002,False,False,0,False,False,0
2020-07-14,295.2587890625,,,0.021572915541289817,False,False,0,False,False,0
2020-07-15,297.9713439941,,,-0.0037309829667826477,False,False,0,False,False,0
2020-07-16,296.9900512695,,,-0.012443777904134201,False,False,0,False,False,0
2020-07-17,297.8510131836,,,0.006193444849010632,False,False,0,False,False,0
2020-07-20,300.2580871582,,,0.005154224726051204,False,False,0,False,False,0
2020-07-21,300.8969116211,,,-0.005923665186942095,False,False,0,False,False,0
2020-07-22,302.6095581055,,,0.0035503432454531136,False,False,0,False,False,0
2020-07-23,298.9989624023,,,-0.017678951976414226,False,False,0,False,False,0
2020-07-24,297.0732421875,,,0.005541896232231558,False,False,0,False,False,0
2020-07-27,299.2397460938,,,0.013727751474172933,False,False,0,False,False,0
2020-07-28,297.3418273926,,,-0.013629030940658815,False,False,0,False,False,0
2020-07-29,300.9986877441,,,0.018586161650003596,False,False,0,False,False,0
2020-07-30,299.9248352051,,,-0.015797505255536137,False,False,0,False,False,0
2020-07-31,302.2948608398,,,0.011445018632699089,False,False,0,False,False,0
2020-08-03,304.3963928223,,,-0.0009431331429228251,False,False,0,False,False,0
2020-08-04,305.5721435547,,,-0.0030727502971101828,False,False,0,False,False,0
2020-08-05,307.4701843262,,,0.0023370971020373332,False,False,0,False,False,0
2020-08-06,309.5253601074,,,0.0004696855641981301,False,False,0,False,False,0
2020-08-07,309.7475891113,,,-0.005944197304582843,False,False,0,False,False,0
2020-08-10,310.6734008789,,,0.0022667558733688864,False,False,0,False,False,0
2020-08-11,308.1089172363,,,-0.011273319868248421,False,False,0,False,False,0
2020-08-12,312.4047546387,,,0.02213514428976815,False,False,0,False,False,0
2020-08-13,311.840057373,,,-0.015655507533588242,False,False,0,False,False,0
2020-08-14,311.8492431641,,,0.0018386741273594964,False,False,0,False,False,0
2020-08-17,312.8398742676,0.06372036459794117,,0.0031421434757143984,False,False,0,False,False,0
2020-08-18,313.5156860352,0.07624550257374718,,-0.001013681586284676,False,False,0,False,False,0
2020-08-19,312.2102661133,0.06445338071697293,,-0.006330421544531006,False,False,0,False,False,0
2020-08-20,313.1824035645,0.07327176973407479,,0.0072813924732253454,False,False,0,False,False,0
2020-08-21,314.2933654785,0.06665385814941427,,0.00043216578197213806,False,False,0,False,False,0
2020-08-24,317.4781799316,0.08543294942237001,,0.006541201742136238,False,False,0,False,False,0
2020-08-25,318.5891113281,0.07604999743018492,,-0.006589127723851007,False,False,0,False,False,0
2020-08-26,321.7831115723,0.07688043126288946,,0.006482402858106973,False,False,0,False,False,0
2020-08-27,322.4867248535,0.08236333131107809,,-0.007791311688650104,False,False,0,False,False,0
2020-08-28,324.5697937012,0.08590718803477415,,0.004254401524518059,False,False,0,False,False,0
2020-08-31,323.3940734863,0.07422922598402337,,-0.010067594048395634,False,False,0,False,False,0
2020-09-01,326.4399108887,0.08147817184348938,,0.013003242723274688,False,False,0,False,False,0
2020-09-02,331.1616210938,0.09016315000018249,,0.004986375542680221,False,False,0,False,False,0
