ticker,alpha,t_stat,p_value
SPY,4.297183709525794e-05,0.8211221860968555,0.4115766738746884
QQQ,0.00014601023020769597,1.9945425867062432,0.04609279078156928
IWM,-0.00013753921111050245,-1.336296269506478,0.18145245536851937
DIA,2.8412206205792206e-05,0.4722826791196304,0.636725031928118
XLK,0.00021102041810524755,2.1245347975512847,0.03362544949740436
XLF,-4.831008120773065e-05,-0.4623652969722614,0.6438193811248878
XLE,-0.0002117013002643013,-1.9819594062130133,0.04748378416784114
XLV,-5.518298423333078e-05,-0.5523798556295824,0.5806881292065903
XLI,2.2100241743255932e-05,0.24241119904957578,0.8084615575362235
XLY,2.055523818840259e-05,0.212511102724855,0.8317083168709023
XLP,-3.524063130034402e-05,-0.3576781298267616,0.7205842016509572
GLD,0.0001496097198059181,1.295970248253132,0.19498573519884033
TLT,-0.0001327056832353596,-1.3824074384324418,0.16684663343876036
