Date,equity
2020-01-03,10000.0
2020-01-06,10000.0
2020-01-07,10000.0
2020-01-08,10000.0
2020-01-09,10000.0
2020-01-10,10000.0
2020-01-13,10000.0
2020-01-14,10000.0
2020-01-15,10000.0
2020-01-16,10000.0
2020-01-17,10000.0
2020-01-21,10000.0
2020-01-22,10000.0
2020-01-23,10000.0
2020-01-24,10000.0
2020-01-27,10000.0
2020-01-28,10000.0
2020-01-29,10000.0
2020-01-30,10000.0
2020-01-31,10000.0
2020-02-03,10000.0
2020-02-04,10000.0
2020-02-05,10000.0
2020-02-06,10000.0
2020-02-07,10000.0
2020-02-10,10000.0
2020-02-11,10000.0
2020-02-12,10000.0
2020-02-13,10000.0
2020-02-14,10000.0
2020-02-18,10000.0
2020-02-19,10000.0
2020-02-20,10000.0
2020-02-21,10000.0
2020-02-24,10000.0
2020-02-25,10000.0
2020-02-26,10000.0
2020-02-27,10000.0
2020-02-28,10000.0
2020-03-02,10000.0
2020-03-03,10000.0
2020-03-04,10000.0
2020-03-05,10000.0
2020-03-06,10000.0
2020-03-09,10000.0
2020-03-10,10000.0
2020-03-11,10000.0
2020-03-12,10000.0
2020-03-13,10000.0
2020-03-16,10000.0
2020-03-17,10000.0
2020-03-18,10000.0
2020-03-19,10000.0
2020-03-20,10000.0
2020-03-23,10000.0
2020-03-24,10000.0
2020-03-25,10000.0
2020-03-26,10000.0
2020-03-27,10000.0
2020-03-30,10000.0
2020-03-31,10000.0
2020-04-01,10000.0
2020-04-02,10000.0
2020-04-03,10000.0
2020-04-06,10000.0
2020-04-07,10000.0
2020-04-08,10000.0
2020-04-09,10000.0
2020-04-13,10000.0
2020-04-14,10000.0
2020-04-15,10000.0
2020-04-16,10000.0
2020-04-17,10000.0
2020-04-20,10000.0
2020-04-21,10000.0
2020-04-22,10000.0
2020-04-23,10000.0
2020-04-24,10000.0
2020-04-27,10000.0
2020-04-28,10000.0
2020-04-29,10000.0
2020-04-30,10000.0
2020-05-01,10000.0
2020-05-04,10027.582193980063
2020-05-05,10120.229986255516
2020-05-06,10051.628659539134
2020-05-07,10172.919364317107
2020-05-08,10341.241110922763
2020-05-11,10343.364889515198
2020-05-12,10137.207336520118
2020-05-13,9957.921319505387
2020-05-14,10077.090587234603
2020-05-15,10123.410971062569
2020-05-18,10431.768636917457
2020-05-19,10324.622016583777
2020-05-20,10500.017561563578
2020-05-21,10427.528104359784
2020-05-22,10447.324671190307
2020-05-26,10576.045088732042
2020-05-27,10733.402564924781
2020-05-28,10713.60482732242
2020-05-29,10761.341844058623
2020-06-01,10804.835986689635
2020-06-02,10894.301623390033
2020-06-03,11039.284050116976
2020-06-04,11010.288735544194
2020-06-05,11292.478498791255
2020-06-08,11428.974006543656
2020-06-09,11343.752414716451
2020-06-10,11280.45468062772
2020-06-11,10630.15109970571
2020-06-12,10757.45254279937
2020-06-15,10857.876596053487
2020-06-16,11066.866244097038
2020-06-17,11020.90177465485
2020-06-18,11025.141136444523
2020-06-19,10962.137265876316
2020-06-22,11032.454942876813
2020-06-23,11083.2488426934
2020-06-24,10800.528720183189
2020-06-25,10916.31680126671
2020-06-26,10657.03668494045
2020-06-29,10813.670624654758
2020-06-30,10952.188053922515
2020-07-01,11028.905165209106
2020-07-02,11089.642423120296
2020-07-06,11089.642423120296
2020-07-07,11089.642423120296
2020-07-08,11089.642423120296
2020-07-09,11089.642423120296
2020-07-10,11089.642423120296
2020-07-13,11089.642423120296
2020-07-14,11089.642423120296
2020-07-15,11089.642423120296
2020-07-16,11089.642423120296
2020-07-17,11089.642423120296
2020-07-20,11089.642423120296
2020-07-21,11089.642423120296
2020-07-22,11089.642423120296
2020-07-23,11089.642423120296
2020-07-24,11089.642423120296
2020-07-27,11089.642423120296
2020-07-28,11089.642423120296
2020-07-29,11089.642423120296
2020-07-30,11089.642423120296
2020-07-31,11089.642423120296
2020-08-03,11089.642423120296
2020-08-04,11089.642423120296
2020-08-05,11089.642423120296
2020-08-06,11089.642423120296
2020-08-07,11089.642423120296
2020-08-10,11089.642423120296
2020-08-11,11089.642423120296
2020-08-12,11089.642423120296
2020-08-13,11089.642423120296
2020-08-14,11089.642423120296
2020-08-17,11089.642423120296
2020-08-18,11089.642423120296
2020-08-19,11089.642423120296
2020-08-20,11089.642423120296
2020-08-21,11089.642423120296
2020-08-24,11089.642423120296
2020-08-25,11089.642423120296
2020-08-26,11089.642423120296
2020-08-27,11089.642423120296
2020-08-28,11089.642423120296
2020-08-31,11089.642423120296
2020-09-01,11089.642423120296
2020-09-02,11089.642423120296
2020-09-03,11089.642423120296
