ticker,alpha,t_stat,p_value
SPY,4.2971837092862894e-05,0.821122186051454,0.41157667390054664
QQQ,0.0001460102302055547,1.9945425866851385,0.04609279078387316
IWM,-0.0001375392111098418,-1.336296269502289,0.18145245536988802
DIA,2.84122061996539e-05,0.4722826790207479,0.6367250319986888
XLK,0.00021102041811011247,2.124534797608626,0.03362544949261496
XLF,-4.8310081217517605e-05,-0.46236529706423996,0.6438193810589394
XLE,-0.0002117013002557657,-1.9819594061362484,0.04748378417643347
XLV,-5.518298423273592e-05,-0.5523798556237007,0.5806881292106192
XLI,2.210024174985363e-05,0.24241119912242856,0.8084615574797784
XLY,2.055523818496165e-05,0.2125111026891019,0.8317083168987922
XLP,-3.524063129674986e-05,-0.3576781297901945,0.7205842016783255
GLD,0.00014960971980691542,1.2959702482605295,0.19498573519629162
TLT,-0.000132705683237289,-1.3824074384565883,0.16684663343135045
